ID,y
1,79.82285
2,97.61972
3,80.04692
4,79.214584
5,113.47498
8,97.20959
10,111.77368
11,97.665054
12,116.192024
14,97.57981
15,115.97084
16,107.02006
17,102.09523
19,97.6078
20,105.242226
21,103.05491
22,115.93597
23,102.09523
26,97.12753
28,102.305916
29,96.71256
33,96.71256
35,94.53439
41,96.71256
42,94.39889
43,116.56098
45,103.65486
46,104.780785
51,94.25347
53,79.39126
55,113.38937
56,94.14443
57,104.18373
58,94.4671
59,104.30637
63,113.38823
64,95.21858
65,103.49794
69,94.425316
71,94.81107
72,103.62569
73,94.29782
76,104.04682
77,109.66111
78,115.44315
82,94.20829
83,103.49794
84,94.00972
85,103.06627
87,112.15983
88,96.71256
89,113.90016
91,94.01611
93,94.360855
94,104.012985
95,94.50218
96,111.645615
97,94.32764
98,113.05585
99,94.12221
101,103.38373
103,113.90016
104,93.92682
105,112.39426
110,94.72762
111,111.986534
113,112.145676
114,94.21471
115,113.84074
117,113.547264
120,95.03298
121,112.47235
122,94.51076
123,113.60951
126,112.884026
132,112.88048
135,103.591446
137,103.58553
138,94.05992
140,94.05519
142,112.9436
144,112.53411
148,93.74943
149,112.85054
155,94.34245
156,112.03038
157,94.32764
162,113.00481
163,94.32646
167,94.29053
172,116.22768
179,112.95287
180,94.39848
181,111.30899
182,94.52614
183,113.547264
185,113.547264
187,112.55724
188,94.29753
189,94.277306
191,93.97446
192,112.99861
193,95.04896
194,111.83244
195,93.841064
196,112.71102
198,99.24599
199,113.09487
201,103.21772
204,94.05992
205,105.12385
206,94.31458
210,93.995125
211,103.38373
216,112.41426
219,115.85873
220,93.63807
221,112.125626
226,111.30899
227,96.20397
228,112.14545
230,112.09383
231,94.32764
235,115.60266
236,93.89979
238,112.185265
242,104.24976
243,94.01611
244,79.78117
245,111.24485
247,113.40398
248,94.04521
249,94.71958
250,112.34282
251,93.89979
253,115.60266
254,100.32908
256,94.28937
257,93.815094
258,113.11339
259,94.12221
262,81.195
266,94.77399
267,111.91251
272,103.351326
273,113.547264
275,100.61976
276,114.2251
279,94.914566
280,103.49794
283,94.2188
285,111.721695
288,113.547264
289,98.11437
290,103.17852
291,93.95668
292,111.55951
293,112.41408
296,101.77716
297,112.06069
298,115.53033
299,94.20829
304,93.78489
305,78.66453
306,93.831505
307,111.30899
311,106.40553
313,111.43406
314,93.74022
316,94.63101
324,94.592705
327,97.7804
329,93.87229
330,111.83244
337,103.935265
338,94.28035
339,103.68919
340,94.909225
343,93.84467
345,115.63754
346,94.22783
347,111.91251
349,112.88562
350,94.023964
352,112.777626
353,93.65695
354,79.51526
357,94.57838
358,113.58404
362,112.76293
364,114.79713
365,103.33874
366,94.09149
367,112.1368
368,94.17807
370,78.59998
373,94.339584
377,93.74266
378,112.0654
382,104.04682
384,112.14545
390,94.50218
392,112.732155
393,112.505295
395,94.410385
396,103.9098
399,78.56386
406,111.65349
408,111.65349
409,93.893074
410,78.621124
